OuterFold,Label,OuterTrainN,GoldPositive,GoldNegative,InnerCVSplits,InnerCVRepeats,InnerOOF_AUROC,InnerOOF_AP,InnerOOF_Brier,InnerPrior_Brier,InnerBrierImprovementVsPrior,InnerOOF_LogLoss,EvidenceAvailableN,EvidenceCoverage,EvidenceOnly_AUROC,EvidenceOnly_AP,EvidenceOnly_Brier,EvidenceOnly_Prior_Brier,EvidenceOnly_BrierImprovementVsPrior,OuterTrainPriorProbability,OuterTrainEvidencePriorProbability,PseudoLabelGateReason,PseudoLabelGatePass
4,Fracture,47,15,32,5,5,0.78125,0.6386529573486095,0.16313222261021412,0.21729289271163427,0.054160670101420144,0.5122447301677057,23,0.48936170212765956,0.7727272727272727,0.703549691049691,0.1878346890752858,0.24952741020793945,0.061692721132653644,0.3191489361702128,0.5217391304347826,pass,True
5,ACL,45,19,26,5,5,0.9291497975708501,0.9428780607349123,0.09391066638122442,0.24395061728395065,0.15003995090272623,0.3425977790431842,31,0.6888888888888889,0.9615384615384615,0.9718033850967289,0.0948031719393017,0.2434963579604579,0.14869318602115622,0.4222222222222222,0.5806451612903226,pass,True
5,MCL,45,7,38,5,5,0.8984962406015038,0.5262515262515263,0.12218887114045594,0.13135802469135807,0.009169153550902129,0.4139817595514085,24,0.5333333333333333,0.773109243697479,0.5262515262515263,0.18306795101021076,0.20659722222222224,0.023529271212011482,0.15555555555555556,0.2916666666666667,pass,True
5,Medial Meniscus,45,21,24,5,5,0.878968253968254,0.9194433261383728,0.10877283523751956,0.2488888888888889,0.14011605365136937,0.3768453982110944,26,0.5777777777777777,0.9722222222222222,0.9872494075602951,0.07976380016874261,0.21301775147928986,0.13325395131054724,0.4666666666666667,0.6923076923076923,pass,True
5,Lateral Meniscus,45,18,27,5,5,0.7633744855967077,0.6977640788124658,0.1769500409453506,0.24000000000000002,0.06304995905464941,0.5431484712013194,33,0.7333333333333333,0.8037037037037038,0.7351068865774748,0.17552194626433532,0.2479338842975206,0.0724119380331853,0.4,0.45454545454545453,pass,True
5,Medial OA,45,12,33,5,5,0.6666666666666667,0.46516903997524145,0.20723306629836297,0.19555555555555565,-0.011677510742807318,0.6125271520604166,4,0.08888888888888889,0.5,0.75,0.36197752406839556,0.25,-0.11197752406839556,0.26666666666666666,0.5,insufficient_evidence_n|evidence_auc_below_gate|evidence_brier_not_better_than_prior,False
5,Lateral OA,45,9,36,5,5,0.5370370370370371,0.45756583706947423,0.15743732333938779,0.16000000000000003,0.0025626766606122453,0.49686070001627786,2,0.044444444444444446,1.0,1.0,0.03451339061940498,0.25,0.21548660938059502,0.2,0.5,insufficient_evidence_n,False
5,PF OA,45,17,28,5,5,0.5945378151260504,0.6702716781326103,0.19056399570821358,0.23506172839506176,0.044497732686848174,0.5635913211400165,7,0.15555555555555556,,,0.02579967668636219,0.0,-0.02579967668636219,0.37777777777777777,1.0,insufficient_evidence_n|evidence_auc_below_gate|evidence_brier_not_better_than_prior,False
5,Effusion,45,28,17,5,5,0.7226890756302521,0.7836294030810204,0.20731001038295274,0.23506172839506176,0.027751718012109017,0.6042061349055815,40,0.8888888888888888,0.7225274725274725,0.794966259113029,0.1957336798176649,0.22749999999999998,0.03176632018233508,0.6222222222222222,0.65,pass,True
5,Synovitis,45,22,23,5,5,0.525691699604743,0.6111711465751387,0.2236653901532852,0.2498765432098766,0.026211153056591385,0.6476184818086316,9,0.2,0.125,0.8338789682539682,0.1527385759608067,0.09876543209876544,-0.05397314386204126,0.4888888888888889,0.8888888888888888,insufficient_evidence_n|evidence_auc_below_gate|evidence_brier_not_better_than_prior,False
