OuterFold,Label,Feature,StandardizedCoefficient
2,Contusion,SemanticDirectStrength,0.15849622328132637
2,Contusion,SemanticDirectMargin,0.15593070460278557
2,Contusion,SeverityLow,-0.03701658452767991
2,Contusion,SeverityModerate,0.0
2,Contusion,SeverityHigh,0.2371804100342697
2,Contusion,SeverityDegenerative,-0.12598132991373057
2,Contusion,Intercept,-0.3385978890297242
2,Fracture,EvidencePositiveScore,0.2963265822270982
2,Fracture,EvidenceNegativeScore,-0.21371477625746665
2,Fracture,RelatedScore,0.29380204426603634
2,Fracture,UncertaintyFlag,-0.09533406497972716
2,Fracture,FusedAssertionConfidence,0.18292824269763067
2,Fracture,RuleDecidableFlag,0.11216934395949936
2,Fracture,SemanticDirectStrength,0.08235320852886892
2,Fracture,SemanticDirectMargin,0.07139513357592961
2,Fracture,SeverityLow,0.0
2,Fracture,SeverityModerate,0.0
2,Fracture,SeverityHigh,0.16709427499057836
2,Fracture,SeverityDegenerative,0.0
2,Fracture,Intercept,-0.436814978300092
3,ACL,EvidencePositiveScore,0.4244323644141768
3,ACL,EvidenceNegativeScore,-0.346448706133017
3,ACL,RelatedScore,-0.07302275831232916
3,ACL,UncertaintyFlag,0.0
3,ACL,FusedAssertionConfidence,0.06641612914670823
3,ACL,RuleDecidableFlag,0.15233500646015782
3,ACL,SemanticDirectStrength,0.2296926500051669
3,ACL,SemanticDirectMargin,0.4380822766891279
3,ACL,SeverityLow,-0.36085637180560604
3,ACL,SeverityModerate,-0.1875556528864862
3,ACL,SeverityHigh,0.3700741774450702
3,ACL,SeverityDegenerative,-0.05707030049109054
3,ACL,Intercept,-0.2043445161541414
3,MCL,EvidencePositiveScore,0.23076669695958327
3,MCL,EvidenceNegativeScore,-0.132023669419404
3,MCL,RelatedScore,-0.007762229989998842
3,MCL,UncertaintyFlag,0.0
3,MCL,FusedAssertionConfidence,0.08825071260870641
3,MCL,RuleDecidableFlag,0.11148138749493104
3,MCL,SemanticDirectStrength,0.18309090980617798
3,MCL,SemanticDirectMargin,0.2203150039849183
3,MCL,SeverityLow,-0.0016235762047450914
3,MCL,SeverityModerate,0.2625642550441821
3,MCL,SeverityHigh,0.3105525860365614
3,MCL,SeverityDegenerative,0.0
3,MCL,Intercept,-0.8183706925105556
3,Medial Meniscus,EvidencePositiveScore,0.41235410529904654
3,Medial Meniscus,EvidenceNegativeScore,-0.25610932627625
3,Medial Meniscus,RelatedScore,-0.15816567809030735
3,Medial Meniscus,UncertaintyFlag,-0.2298866678493608
3,Medial Meniscus,FusedAssertionConfidence,0.06889963945595982
3,Medial Meniscus,RuleDecidableFlag,0.2629851543538964
3,Medial Meniscus,SemanticDirectStrength,0.20143044711759905
3,Medial Meniscus,SemanticDirectMargin,0.347144560284672
3,Medial Meniscus,SeverityLow,0.10815382557121245
3,Medial Meniscus,SeverityModerate,0.12554128051601476
3,Medial Meniscus,SeverityHigh,0.08511031812621189
3,Medial Meniscus,SeverityDegenerative,-0.042571122260331634
3,Medial Meniscus,Intercept,-0.11305561480575012
3,Lateral Meniscus,EvidencePositiveScore,0.49880667052319383
3,Lateral Meniscus,EvidenceNegativeScore,-0.328882682996175
3,Lateral Meniscus,RelatedScore,0.09092432225567777
3,Lateral Meniscus,UncertaintyFlag,-0.0023655679123431735
3,Lateral Meniscus,FusedAssertionConfidence,0.10320184408712159
3,Lateral Meniscus,RuleDecidableFlag,0.05689351367718816
3,Lateral Meniscus,SemanticDirectStrength,0.22006291325453106
3,Lateral Meniscus,SemanticDirectMargin,0.42836843695206217
3,Lateral Meniscus,SeverityLow,0.004087636054225966
3,Lateral Meniscus,SeverityModerate,-0.03142058769620025
3,Lateral Meniscus,SeverityHigh,0.0
3,Lateral Meniscus,SeverityDegenerative,-0.13290894718445556
3,Lateral Meniscus,Intercept,-0.2175621824967937
3,Medial OA,EvidencePositiveScore,0.19862432434935978
3,Medial OA,EvidenceNegativeScore,-0.04536683904426571
